회사명,지원기간,공고명,직무내용,자격요건,우대조건,경력조건,기술 스택,출처 URL,복지
위메이드,"마감일
2023-09-11",[위메이드XR] 서버 프로그래머,게임 서버 개발자,"• C / C++ 언어에 대한 이해
• 네트워크/자료구조/알고리즘의 이해
• 기본적인 툴 개발 지식","• C / C++ 등의 언어 사용에 능숙하신 분
• MMORPG 서버 아키텍처 설계 및 구현 경험하신 분
• MMORPG 서버 상용화 및 안정화 경험하신 분
• 서버 성능 튜닝 및 봇개발 경험하신 분
• DB 설계 경험이 있으신 분
• 팀원 간 원만한 커뮤니케이션 가능하신 분
• 성실하고 책임감이 강한 분","경력
신입~10년","C
C++
Network",https://www.jumpit.co.kr/position/17157,"• 배려와 존중으로 함께 일하는 최고의 팀 동료들이 있어요
• 취향에 따라, 기분에 따라 마음에 드는 메뉴를 선택하실 수 있도록 식사포인트를 지원해 드려요
• 최상의 원두와 전문 바리스타가 있는 카페테리아에서 언제든 커피 혹은 음료는 무료로 마음껏 드세요
• 수면실, 샤워룸, 수유실, 스포츠센터 등 위메이드인들을 위한 다양한 편의시설도 있어요
• 연간 200만원 지급되는 복지포인트로 다양한 문화 혹은 취미 생활 누리세요
• 일과 생활의 균형을 위해 자유롭게 연차를 사용하세요
• 다양한 경조사에 대한 경조 지원금, 유급휴가를 지원해 드려요
• 단체보험가입, 종합건강검진, 독감예방접종 지원받으시고 건강도 챙기면서 일해요
• 가족의 종합건강검진도 함께 챙겨요
• 자녀의 진학에 부담갖지 않으시길 바라며 입학축하금 및 대학교 학자금을 지원해 드려요
• 열일 후 달콤한 휴식을 위해 레지던스 및 리조트회원권을 준비했어요
• 위메이드에서 오래도록 기여해주신 장기근속 위메이드인에게는 포상금을 지급해요"
일렉트로닉아츠코리아,"마감일
상시",[Unannounced Project] 서버 개발자(Server Software Engineer) (7년~),게임 서버 개발자,"• 관련 분야 경력 7년 이상
• Node.js 와 JavaScript 사용에 능숙하신 분
• 마이크로서비스 아키텍처와 RESTful API에 대해 친숙한 분
• NoSQL 또는 RDBMS를 이용한 개발 또는 운영 경험이 있으신 분
• 리눅스 환경에서의 개발 경험

[제출 서류]
• 국문 이력서 및 경력기술서
• 직무 관련 포트폴리오","• 많은 트래픽을 처리하는 웹서비스 또는 분산 서버를 개발한 경험이 있으신 분
• Kubernetes 등 컨테이너 기술을 이용한 클러스터 운영 경험이 있으신 분
• 라이브 환경을 파악하기 위하여 다양한 수집 및 모니터링 툴을 구현하거나 이용해 보신 분
• 컴퓨터공학 전공자 
• 다양한 프로그래밍 언어 개발 경험이 있으신 분 (C, C++, Python, Go, Typescript)
• 온라인/모바일 게임 서비스 런칭 및 라이브 운영 경험이 있으신 분
• 원활한 커뮤니케이션과 효과적인 문제해결 능력을 갖추신 분","경력
경력 7~15년","Node.js
JavaScript
REST API
NoSql
Kubernetes
C
C++
Python
Go
TypeScript",https://www.jumpit.co.kr/position/13324,"• 연 17일의 연차휴가
• 일주일간의 크리스마스 유급휴가 
• 단체상해보험 및 건강보험료 100% 지원
• 외국어 등 각종 교육관련 비용 지원
• 헬스장, 요가 등 피트니스 비용 지원
• 자사주식 구매 제도
• 선택적 복리후생 포인트 제도
• EA 게임 구입비용 지원
• 콘솔게임기기 구입 비용 지원
• 사내 동호회 활동 지원"
엑스엘게임즈,"마감일
상시",[아키에이지 워] 서버 프로그래머 (경력),게임 서버 개발자,"• 경력 3년 이상 혹은 그에 준하는 개발 실력을 보유하신 분
• C++이 능숙하신 분","• Unreal Engine4에 대한 개발 경험이 있으신 분
• MMORPG 게임 개발 및 런칭 경험이 있으신 분
• 다양한 개발환경 및 자동화에 관심이 있으신 분
• 적극적이고 능동적인 마인드를 소유하신 분","경력
경력 3~15년","Unreal Engine
C++",https://www.jumpit.co.kr/position/13083,"• 조식, 중식, 석식 제공
• Cafeteria 운영
• 통근버스 운행
• 자기계발비 지급
• 본인, 배우자, 자녀 상해보험 가입
• 건강검진 실시 및 백신휴가 지원
• 경조사 및 근속휴가 지원
• 명절 선물 지급
• 수면실, 샤워실 제공
• 육아휴직, 출산휴가, 임신기간 단축근무 지원
• 매월 마지막 금요일 놀금 운영"
코드스토리,"마감일
상시",[곰앤컴퍼니 관계사] 서버 프로그래머 모집 [경력],게임 서버 개발자,"• 전공 : 컴퓨터공학/전산 우대
• 직무경험
 - C, C++ 서버 개발 언어
 - MS SQL, MySQL, 아마존 DB 등 DB 설계 및 개발
 - MORPG, MMORPG 등 게임 서버 개발 경험
 - 게임/메타버스서비스 서버 개발/운영 경험
 - 경력 2년 이상","• Unreal Engine4에 대한 개발 경험이 있으신 분
• MMORPG 게임 개발 및 런칭 경험이 있으신 분
• 다양한 개발환경 및 자동화에 관심이 있으신 분
• 적극적이고 능동적인 마인드를 소유하신 분","경력
경력 2~5년","C++
Unreal Engine
AWS
mssql
mysql
c",https://www.jumpit.co.kr/position/6099,"[점심식사 제공]
• 1시간 30분으로 여유로운 식사시간

[다양한 간식&음료&커피 제공]
• 일하면서 당 충전 !!

[선택적 자율 출근제]
• 개개인에게 맞춰 9시~11시 사이로 자율출근제 가능

[업무 도서 지원]
• 개개인 자기계발에 적극 지원

[자율복장제도]
• 편한 복장으로 일의 능률을 올리기

[인센티브제]
• 열심히 일한 사원에게 성과금 지급

[명절비 지급]
• 추석/설날 명절비 20만원 지급

[놀금]
• 매달 마지막 금요일은 오전 근무!

[생일 선물]
• 소중한 팀원들의 생일에 선물 지급!

[헬스 지원]
• 건강이 우선! 헬스비 지원!"
위메이드,"마감일
2023-07-31",[디스민즈워] 서버 프로그래머,게임 서버 개발자,"• 서버 실무 경험 3년 이상
• RDBMS나 NoSQL 사용하여 DB 설계 및 개발이 가능하신 분
• Redis 등의 메모리 DB 사용이 가능하신 분
• 원활한 의사 소통이 가능하신 분","• Linux 사용 경험
• 개발부터 라이브까지 완료한 경험
• AWS 등 클라우드 사용 경험이 있으신 분","경력
경력 3~10년","nosql
db
redis
aws
linux",https://www.jumpit.co.kr/position/15388,"• 배려와 존중으로 함께 일하는 최고의 팀 동료들이 있어요 
• 취향에 따라, 기분에 따라 마음에 드는 메뉴를 선택하실 수 있도록 식사포인트를 지원해 드려요
• 최상의 원두와 전문 바리스타가 있는 카페테리아에서 언제든 커피 혹은 음료는 무료로 마음껏 드세요
• 수면실, 샤워룸, 수유실, 스포츠센터 등 위메이드인들을 위한 다양한 편의시설도 있어요
• 연간 200만원 지급되는 복지포인트로 다양한 문화 혹은 취미 생활 누리세요
• 일과 생활의 균형을 위해 자유롭게 연차를 사용하세요
• 다양한 경조사에 대한 경조 지원금, 유급휴가를 지원해 드려요
• 단체보험가입, 종합건강검진, 독감예방접종 지원받으시고 건강도 챙기면서 일해요
• 가족의 종합건강검진도 함께 챙겨요
• 자녀의 진학에 부담갖지 않으시길 바라며 입학축하금 및 대학교 학자금을 지원해 드려요
• 열일 후 달콤한 휴식을 위해 레지던스 및 리조트회원권을 준비했어요
• 위메이드에서 오래도록 기여해주신 장기근속 위메이드인에게는 포상금을 지급해요"
앤서스랩코리아,"마감일
상시",[슬롯] Slot Server,게임 서버 개발자,"• 5~15년 관련 경력이 있는 분 
• DB관련 설계 및 운영 경험이 있는 분 
• .net core 웹서버 개발 경험이 있는 분","• 슬롯 제작 이력이 있는 분
• 슬롯 플레이 경험이 많은 분","경력
경력 5~15년",".NET
Java
C#
C++
AZURE",https://www.jumpit.co.kr/position/13358,"[구성원분들의 삶을 든든하게 지원해드려요]
• 💰 업계 최고 수준의 성과급(상/하반기, 年 2회)을 지급해 드려요.
• 🍱 회돈회산 점심, 저녁을 일일 최대 30,000원까지 지원해 드려요.
• 🕙 9시~1시 사이 자율출근제도를 활용해 보세요.
• 📚 성장을 위한 교육비 연 200만원과 도서비를 무제한으로 지원해 드려요.
• 🏣 100만원 상당의 대학병원 검진 & 각종 예방 접종 받으세요.
• 💌 1년에 한번 오는 생일, 축하의 마음을 담아 상품권 15만원을 드려요.
• 🍖 명절엔 가족과 함께 최고급 투뿔 AA++ 한우를!! 집 앞까지 배송해 드려요.
• 🚖 야간 근로 후, 택시비 전액 지원해 드려요.
• 🚗 장거리 출/퇴근 주차비를 지원해 드려요.
• 🎁 신규 입사자분들에게 Welcome Kit 를 지급해 드려요.
• ☕ 매일 아침 조식 서비스와 스낵바&음료를 무제한으로 이용하실 수 있어요.
• 💻 업무를 위해 필요한 최신형 장비를 지원해 드려요.

#지원 응답이 빠른 기업 #인센티브 #유연근무제 #맛있는간식냠냠 
#맥북으로개발 #수평적 조직 #자유복장 #반바지/슬리퍼OK #도서구입비지원 #택시비지원"
앤서스랩코리아,"마감일
상시",[Poker] Game Server Developer,게임 서버 개발자,"• 서버 개발 및 유지보수 관련 경력이 5년 이상인 분
• RDBMS 및 NoSQL 사용 경험이 있는 분
• 원활한 커뮤니케이션 능력이 있는 분","• C# 개발 경험 및 유닛 테스트 작성 경험이 있는 분
• 네트워크 프로그래밍에 대한 이해 및 경험이 있는 분
• RDBMS 구축 및 운영 경험이 있는 분
• 클라우드 환경에서의 서비스 운영 경험이 있는 분","경력
경력 5~13년","C#
C++
Java
NoSql",https://www.jumpit.co.kr/position/13357,"[구성원분들의 삶을 든든하게 지원해드려요]
• 💰 업계 최고 수준의 성과급(상/하반기, 年 2회)을 지급해 드려요.
• 🍱 회돈회산 점심, 저녁을 일일 최대 30,000원까지 지원해 드려요.
• 🕙 9시~1시 사이 자율출근제도를 활용해 보세요.
• 📚 성장을 위한 교육비 연 200만원과 도서비를 무제한으로 지원해 드려요.
• 🏣 100만원 상당의 대학병원 검진 & 각종 예방 접종 받으세요.
• 💌 1년에 한번 오는 생일, 축하의 마음을 담아 상품권 15만원을 드려요.
• 🍖 명절엔 가족과 함께 최고급 투뿔 AA++ 한우를!! 집 앞까지 배송해 드려요.
• 🚖 야간 근로 후, 택시비 전액 지원해 드려요.
• 🚗 장거리 출/퇴근 주차비를 지원해 드려요.
• 🎁 신규 입사자분들에게 Welcome Kit 를 지급해 드려요.
• ☕ 매일 아침 조식 서비스와 스낵바&음료를 무제한으로 이용하실 수 있어요.
• 💻 업무를 위해 필요한 최신형 장비를 지원해 드려요.

#지원 응답이 빠른 기업 #인센티브 #유연근무제 #맛있는간식냠냠 
#맥북으로개발 #수평적 조직 #자유복장 #반바지/슬리퍼OK #도서구입비지원 #택시비지원"
마이베네핏,"마감일
상시",Unity Client 개발자 모집,게임 서버 개발자,"• Unity UI 개발 가능하신 분 (2D UI , UI toolkit)
• C# script 개발 가능하신 분
• Git 등 형상관리툴에 익숙하신 분
• 네트워크 관련 개발 경험이 있으신 분","• 모션 인식 기반 지식이 있는 분 (Kinet)
• Unity Photon 개발 경험이 있으신 분
• 웹 서비스 관련 이해도가 있으신 분
• Source control / issue tracking / bug tracking 경험이 있으신 분","경력
신입~7년","unity
c++
c#
git",https://www.jumpit.co.kr/position/15538,"• 출,퇴근 시간 탄력근무 가능
• 07~10시 자율 출근 (8시간 근무)
• 중식 제공
• 매주 금요일 재택근무 시행"
라피티,"마감일
상시",Game Developer,게임 서버 개발자,"• Websocket 혹은 GRPC에 대한 경험이 있는 분
• RESTful API 서비스 경험이 있으신 분
• 게임 업계 경험이 있는 분
• 멀티스레딩 및 동기화에 대한 이해가 있으신 분
• 개발에 대한 열정이 있고, 문제 해결에 재미를 느끼시는 분
• NoSQL(Redis, MongoDB, DynamoDB 등)에 대한 경험이 있으신 분","• 모바일 게임 개발 및 서비스 경험이 있으신 분
• AWS등의 클라우드 환경에 익숙하신 분
• 한번 맡은 일은 포기하지 않고 끝까지 하시는 분

[추가 안내사항]
• 수습기간 : 정규직의 경우 3개월
• 제출서류 : 자유형식 이력서(필수), 자기소개서(선택), 포트폴리오(선택)
• 채용절차 : 서류 제출(다음날 결과 회신) > 1차 면접 > 최종 면접 > 채용
 - 라이브코딩테스트가 포함되어 있어요","경력
경력 2~10년","PostgreSQL
NoSql
Redis
MongoDB
WebSocket
gRPC
Amazon DynamoDB",https://www.jumpit.co.kr/position/6767,"• 스톡옵션 및 크립토(TBD)
• 4대 보험
• 듀얼 모니터 및 맥북 등 고사양 장비
• 근무시간: 10시-19시 기반의 자율 출퇴근"
미투온,"마감일
상시",게임 서버 개발 경력사원 모집,게임 서버 개발자,"• Windows Platform에 대한 기본적인 지식 보유자
• IOCP technology, Memory Pool, Database Pool, Multi-threaded server
• STL / Boost 사용 가능자","• 소셜 카지노 장르 게임 개발 경험자 
• 개발부터 서비스까지 전체 경험자
• 해킹 방지를 위한 네트워크 보안에 대한 지식 보유자 
• MSSQL 또는 MYSQL 개발가능","경력
경력 3~10년","C++
MSSQL
MySQL
Oracle",https://www.jumpit.co.kr/position/13523,"• 각종 경조사 지원 
• 생일축하 상품권 및 반차 제공
• 저녁 식대 제공
• 임직원 대출제도
• 보육수당 지급
• 카페테리아 및 스낵바 운영
• 패밀리데이: 매월 첫째주 금요일 6시 퇴근
• 장기근속 특별상여금: 근속 2년이상 짝수년도 상여금 지급
• 결혼기념일 선물 
• 매주 마지막주 수요일 간식제공

미투온 홈페이지: https://www.me2on.com/"
케스마이,"마감일
상시",라이브 홀덤 게임 개발,게임 서버 개발자,"• cocos creator, Phaser, Construct 등 
• HTML5 게임 엔진들 중 하나 이상을 활용한 프로젝트 완성 및 라이브 경험 있으신 분 
• Javascript, Typescript 에 대한 이해도가 높으신분","• Cocos Creator 등의 게임 엔진을 경험해 본 분
• Node.JS로 게임서버 개발을 해보신 분","경력
경력 2~10년","JavaScript
Cocos2D-X
Node.js
TypeScript
HTML5",https://www.jumpit.co.kr/position/15672,"• 아직 규모가 작아서 내세울건 없습니다. 맘편하게 일하고 맘편하게 쉴수 있도록 노력하고 있습니다.
• 무더운 여름엔 휴양지로 떠나세요! ""여름휴가 지원""
• 함께 나눠요! ""경조사 지원""
• 일하면서 당분보충 필수! ""스낵바 제공""
• 원하는대로 편하게~ ""자율복 근무""
• 명절에도 두둑하게 ""명절선물 제공""
• 주기적으로 건강확인 ""건강검진 지원""
• 우리 같이 일해요! ""추천 인센티브제도"""
잔디소프트,"마감일
상시",서버 경력 개발자 모집(TCP/IP),게임 서버 개발자,"• C/C++/자료구조/네트워킹/알고리즘 이해도가 있으신 분
• MMORPG 서버 아키텍처를 만들고 싶은 분","• MMORPG 개발/서비스 경험이 있으신 분
• Witcher 3, Skyrim, Last of Us, Divinity Original Sin 2, Inside, This war of mine을 심도 깊게 플레이 해보신 분
• 게임을 좋아하며, 새로운 트렌드를 추구하시는 분","경력
경력 2~20년","Redis
Lua
MySQL
SQL
TCP/IP
C
C++",https://www.jumpit.co.kr/position/8778,"• 4대보험
• 퇴직금
• 간식제공
• 석식제공"
데브크리,"마감일
2023-08-22",유즈맵 게임 개발자(경력/울산본사 근무),게임 서버 개발자,"• 울산본사 근무 예정
• 학력 : 무관
• 조건 : 경력 1년 이상
• 자료구조, 알고리즘, 데이터베이스, 네트워크에 대한 지식 보유
• C#, C++, Lua Typescript 등의 언어 사용
• 월드빌더로서 메타버스 내 각종 시설물, 아이템의 로직부터 게임 전체를 제작하실 분
• 유즈맵 게임 최적화 및 출시 경험이 있으신 분
• 유즈맵 및 기타 맵 구축 작업물 완성 경력이 있으신 분","• 게임에 대한 높은 이해도와 빠르고 정확한 분석이 가능하신 분
• 새로운 툴 사용에 대한 거부감이 없고 필요한 기술, 사용법 연구에 적극적인 분
• 스타크래프트, 오버워치, 로블록스 등 각종 게임 내에서 유즈맵 제작 경험이 있으신 분
• 유즈맵 그래픽 요소에 깊은 이해가 있으신 분
• Unity 개발을 함께 하실 수 있으신","경력
경력 1~15년","C#
GitHub
SW
Lua
C++
TypeScript
Unity",https://www.jumpit.co.kr/position/16723,"• 재밌게 개발하자!
마음 맞는 개발자, 기획자, 디자이너가 만든 개발회사 입니다.
현재 준비하고 있는 교육게임부터, 그 다음 플랜으로 기다리고 있는 미니게임 개발까지!
회사는 작지만 꿈은 큰 데브크리에서 함께 재밌게 작업하실 여러분을 기다립니다. 

• 준비된 스타트업
정부지원사업에 의지하는, 불안한 개발회사가 아닙니다.
반복적이고 정해진 일만 해야하는, 소모적인 회사도 아닙니다.
(주)데브크리는 탄탄한 자본, 똑똑한 팀원, 안정적인 클라이언트와 새로운 도전까지 촘촘한 계획들이 준비되어 있습니다.

• 우리가 만들어나가는 우리의 문화
데브크리는 (주)발렌타인드림의 윤성우대표님이 설립한 개발회사 입니다.
회사를 운영하는 노하우는 체계적으로 구축이 되어있습니다.
그렇지만 현재 6명의 인원으로 시작한 회사라서, 우리가 원하는 개발문화, 사내규칙을 만들어 나갈 수 있습니다. 

• 융통성 있는 회사
탄력근무제, 부분재택근무, 자유로운 연월차사용, 소소한 회식 및 간식무상제공, 야간근로시 저녁식대 및 교통비지원, 대체휴일지급 등

• 작지만 강한 힘! 탄탄한 조직구성
개발자 3명, 기획자3명, 디자이너1명 등으로 이루어진 조직입니다.
더 많은 개발자 분들을 모시고 있습니다. 문의주세요!"
위메이드,"마감일
2023-09-13",[위메이드엠] 엔진 개발,게임 서버 개발자,"• 경력 3년 이상
• C++ 숙련자
• MSSQL, Redis 프로젝트 진행 경험","• C/C++ 프로그래밍 경력자
• DB 설계 경험
• MMORPG 런칭 및 라이브 서비스 경험자","경력
경력 3~13년","C
C++
Redis
MSSQL",https://www.jumpit.co.kr/position/17210,"• 배려와 존중으로 함께 일하는 최고의 팀 동료들이 있어요
• 취향에 따라, 기분에 따라 마음에 드는 메뉴를 선택하실 수 있도록 식사포인트를 지원해 드려요
• 최상의 원두와 전문 바리스타가 있는 카페테리아에서 언제든 커피 혹은 음료는 무료로 마음껏 드세요
• 수면실, 샤워룸, 수유실, 스포츠센터 등 위메이드인들을 위한 다양한 편의시설도 있어요
• 연간 200만원 지급되는 복지포인트로 다양한 문화 혹은 취미 생활 누리세요
• 일과 생활의 균형을 위해 자유롭게 연차를 사용하세요
• 다양한 경조사에 대한 경조 지원금, 유급휴가를 지원해 드려요
• 단체보험가입, 종합건강검진, 독감예방접종 지원받으시고 건강도 챙기면서 일해요
• 가족의 종합건강검진도 함께 챙겨요
• 자녀의 진학에 부담갖지 않으시길 바라며 입학축하금 및 대학교 학자금을 지원해 드려요
• 열일 후 달콤한 휴식을 위해 레지던스 및 리조트회원권을 준비했어요
• 위메이드에서 오래도록 기여해주신 장기근속 위메이드인에게는 포상금을 지급해요"
위메이드,"마감일
2023-09-13",[위메이드엠] 컨텐츠 개발,게임 서버 개발자,"• 경력 3년 이상
• C++ 숙련자
• MSSQL, Redis 프로젝트 진행 경험","• C#/C++ 프로그래밍 경력자
• DB 설계 경험
• MMORPG 런칭 및 라이브 서비스 경험자","경력
경력 3~13년","C++
C
MSSQL
Redis",https://www.jumpit.co.kr/position/17209,"• 배려와 존중으로 함께 일하는 최고의 팀 동료들이 있어요
• 취향에 따라, 기분에 따라 마음에 드는 메뉴를 선택하실 수 있도록 식사포인트를 지원해 드려요
• 최상의 원두와 전문 바리스타가 있는 카페테리아에서 언제든 커피 혹은 음료는 무료로 마음껏 드세요
• 수면실, 샤워룸, 수유실, 스포츠센터 등 위메이드인들을 위한 다양한 편의시설도 있어요
• 연간 200만원 지급되는 복지포인트로 다양한 문화 혹은 취미 생활 누리세요
• 일과 생활의 균형을 위해 자유롭게 연차를 사용하세요
• 다양한 경조사에 대한 경조 지원금, 유급휴가를 지원해 드려요
• 단체보험가입, 종합건강검진, 독감예방접종 지원받으시고 건강도 챙기면서 일해요
• 가족의 종합건강검진도 함께 챙겨요
• 자녀의 진학에 부담갖지 않으시길 바라며 입학축하금 및 대학교 학자금을 지원해 드려요
• 열일 후 달콤한 휴식을 위해 레지던스 및 리조트회원권을 준비했어요
• 위메이드에서 오래도록 기여해주신 장기근속 위메이드인에게는 포상금을 지급해요"
위메이드,"마감일
2023-09-13",[위메이드엠] 컨텐츠 개발,게임 서버 개발자,"• 경력 3년 이상
• C++ 숙련자
• MSSQL, Redis 프로젝트 진행 경험","• C#/C++ 프로그래밍 경력자
• DB 설계 경험
• MMORPG 런칭 및 라이브 서비스 경험자","경력
경력 3~13년","C++
C
MSSQL
Redis",https://www.jumpit.co.kr/position/17209,"• 배려와 존중으로 함께 일하는 최고의 팀 동료들이 있어요
• 취향에 따라, 기분에 따라 마음에 드는 메뉴를 선택하실 수 있도록 식사포인트를 지원해 드려요
• 최상의 원두와 전문 바리스타가 있는 카페테리아에서 언제든 커피 혹은 음료는 무료로 마음껏 드세요
• 수면실, 샤워룸, 수유실, 스포츠센터 등 위메이드인들을 위한 다양한 편의시설도 있어요
• 연간 200만원 지급되는 복지포인트로 다양한 문화 혹은 취미 생활 누리세요
• 일과 생활의 균형을 위해 자유롭게 연차를 사용하세요
• 다양한 경조사에 대한 경조 지원금, 유급휴가를 지원해 드려요
• 단체보험가입, 종합건강검진, 독감예방접종 지원받으시고 건강도 챙기면서 일해요
• 가족의 종합건강검진도 함께 챙겨요
• 자녀의 진학에 부담갖지 않으시길 바라며 입학축하금 및 대학교 학자금을 지원해 드려요
• 열일 후 달콤한 휴식을 위해 레지던스 및 리조트회원권을 준비했어요
• 위메이드에서 오래도록 기여해주신 장기근속 위메이드인에게는 포상금을 지급해요"
