회사명,지원기간,공고명,직무내용,자격요건,우대조건,경력조건,기술 스택,출처 URL,복지
트럼피아,"마감일
상시","[TRUMPIA, 외국계] System Engineer 경력 모집",devops/시스템 엔지니어,"• Linux 기반 서비스 인프라 구축/운영 경험
• 가상화 환경 (VMware, XenServer, Hyper-V 등) 구축/운영 경험
• 전반적인 네트워크 (네트워크보안, TCP/IP 에 대한 기본 이해) 지식 보유
• Shell 등 스크립트 언어 및 자동화툴 사용 가능",• 영어 가능자 우대,"경력
경력 3~7년","NGINX
Oracle
MySQL
AWS Shell
Python
XenServer
RabbitMQ
PHP
Linux
ELK",https://www.jumpit.co.kr/position/513,"• 자율출퇴근제 
• 재택근무 주 1회 시행 (코로나 비상상황시에도 재택근무 운영 중) 
• 복리후생(문화생활,체력단련,여행 등) 연 100만원 실비 지원 
• 식권대장 어플로 식대 지원 (연봉과 별개)
• 교육비 지원 : 어학 및 업무 관련
• 자유로운 연차 사용 (반차, 반반차 가능)
• 생일 선물 지급 (외식상품권 및 휴가) 
• 사내 추천 인센티브 제도 운영 
• 경조사 지원 - 각종 경조금, 경조휴가 지원 
• 장기 근속포상 지원 - 내규에 따라 휴가 및 상금 지원 
• 중소기업 청년 소득세 감면 시행
• 연 3회 성과 평가 후 인센티브 지급 
• 사내동호회비, 팀회식비 지원 
• 까페테리아 운영 (커피캡슐머신, 간식 지원)
• 건강검진시 추가검진비 지원
• 웰컴키트 지급"
차봇모빌리티,"마감일
상시",인프라 담당자,devops/시스템 엔지니어,"• AWS 운영 경험 있으신 분
• 스크립트 작성, 시큐리티 도구, 자동화 개발 구축하신 분
• 다양한 서비스의 인프라 통제 정책 수립과 운영을 진행하신 분
• 네트워크, 인프라 등의 IT기초 지식 또는 경험하신 분","• 클라우드 기반 IT 서비스 보안 경험을 보유하신 분 
• 보안 솔루션 기획과 선정/도입, 운영 경험이 있으신 분 
• 보안 이벤트 분석과 침해 사고 대응 경험을 대응해보신 분 
• 여러 부문을 상대로 조정 업무 경험 및 원활한 커뮤니케이션 능력이 있으신 분
• 정보보호관리체계 요구사항 구현 경험(ISMS, ISO 270001 등) 이 있으신 분","경력
경력 5~8년","Linux
Docker
Kubernetes
AWS
Amazon RDS
Amazon CloudWatch
VPN",https://www.jumpit.co.kr/position/14695,"• 장비 지원 : 맥북 프로, 듀얼모니터 등 업무에 필요한 최신 장비를 최대한 지원합니다.
• 유연근무제 : 본인의 통근시간, 생활패턴 등을 고려해 원하는 출근시간대를 선택할 수 있습니다.
• 수평적 조직문화 : 대표님을 포함한 모든 구성원들은 서로 존중하며 상호 존칭을 사용합니다. 
• 웰컴 키트 : 신규로 합류하는 직원을 위한 맞춤형 입사 선물을 드립니다.
• 플레이스 캠프 성수점에 입주해 있어 쾌적한 근무환경을 제공합니다.
• 자기계발 지원 : 업무 능력 향상을 위해 필요한 온·오프라인 교육, 명사 특강, 도서 구매 등을 지원합니다.
• 1년 근속자 축하 : 입사 후 1년 동안 고생하셨다는 의미로 소정의 선물을 지원합니다.
• 장기근속자 포상 : 근속 3, 6주년시 소정의 휴가비와 리프레시 휴가를 제공합니다.
• 차량구입비 지원 : 본인이나 가족의 차량 구매 시 소정의 비용을 지원합니다.
• 생일자 선물 : 매년 생일시 소정의 모바일 상품권 또는 소정의 선물을 지급합니다.
• 정부지원 혜택 : 청년 내일채움 공제, 중소기업 청년 소득세 감면 혜택을 받으실 수 있습니다."
와디즈,"마감일
상시",시스템 엔지니어,devops/시스템 엔지니어,"[우리는 이런 분들을 찾고있어요.]
• IDC 환경에서 인프라 시스템을 구축하고 운영한 경험 (5년 이상)
• 서비스 모니터링 운영 및 트러블슈팅 경험
• 스토리지 및 서버 데이터 백업, 데이터 마이그레이션
• 소프트웨어 및 OS 업그레이드 및 트래킹

[아래 문항에 대한 답변을 이력서에 작성하여 제출해주세요.]
• 지원자님이 생각하시는 와디즈는 어떤 회사인가요? 왜 와디즈에서 함께 하고 싶은 마음이 드셨나요?
• 와디즈가 하고 있는 일을 살펴보셨나요? 내가 합류해서 꼭 해보고 싶은 일이 있다면 기록해주세요.","[이러한 분이시라면 더욱 좋아요.]
• 대규모 어플리케이션 운영 및 시스템 자동화 경험, 어플리케이션/인프라 트러블 슈팅 경험
• 팀과 함께 성장하며 지식을 공유하는 문화를 좋아하는 분
• 본인의 주된 스킬 이외의 기술에도 지속적으로 관심을 갖고 도전하고자 하는 분
• Linux / VMware / MySQL 운영 경험이 있는 분
• 다양한 오픈소스를 활용하여 인프라를 구축하고 운영한 경험이 있는 분
• SRE or Devops 문화에 관심이나 경험이 있으신 분
• 클라우드 운영 경력 및 자격증 보유하신 분

[함께할 분들에게 전하는 한 마디]
“와디즈 서비스 플랫폼 팀은 다양한 포지션의 분들과 즐겁게 일할 수 있어요.”
“와디즈의 안정성은 시작과 끝은 서비스 플랫폼 팀에서!”","경력
경력 5~10년","Ansible
Terraform
Linux
vmware
MySQL",https://www.jumpit.co.kr/position/16611,"1. 윤택한 '라이프 디자인'을 지원해요.
• 개발자 IT장비 구매지원 연 100만원
• 와디즈 펀딩 포인트 연 100만원 지급
• 구성원의 삶을 지원하기 위해 심리/법률/재정 상담(EAP) 지원
• 도서무한지원
• 피트니스센터 지원

2. 나와 가족들의 안전과 건강을 지켜요.
• 단체상해보험 가입 지원(본인, 배우자, 자녀, 부모)
• 건강검진

3. 출퇴근을 유연하게 해요.
• 유연근무제
• 출퇴근셔틀버스

4. 잘 쉬어야 더 잘 일할 수 있어요.
• 무료 스낵바
• 사내 카페
• 수면실"
마크로젠,"마감일
2023-07-28",서비스 모니터링 및 자동화,devops/시스템 엔지니어,"[지원 자격]
• 관련 경력 3년 이상
• 초대졸(전문학사) 이상

[필요기술/지식 등]
• AWS 기반 대용량 서비스 구축 및 운영 경험
• Java, Python 중 한 개 이상 언어 사용 
• 서버, 스토리지, 네트워크에 대한 기본 지식 및 이해","• 대용량/고성능 데이터 처리 서비스 운영 경험
• 지표/인프라 모니터링 서비스 개발 및 운영 경험
• 배포 자동화 (OpsWorks, Chef, CI/CD) 경험 
• H/A에 대한 이해 및 경험
• 컴퓨터 및 전산학과 전공자
• 관련 자격증 보유자","경력
경력 3~7년","Java
Python
Chef
AWS CloudFormation
AWS",https://www.jumpit.co.kr/position/9951,"• 연금·보험 : 국민연금, 건강보험, 고용 및 산재보험
• 휴무·휴가 : 주5일근무, 경조휴가, 연차휴가 등
• 보상제도 : 장기근속/우수사원 포상 인센티브제, 우리사주조합운영, 생활운영자금대출
• 기타 : 건강검진, 사내동호회운영, 생일자 상품권 지급 外"
딥엑스,"마감일
상시",[AI반도체] 딥엑스 DevOps Engineer,devops/시스템 엔지니어,"• CI/CD System 개발 경험자, ex) Jenkins, Github Action
• Docker등 Container 기반의 서비스 개발 경험자
• 웹 어플리케이션을 개발하고 운영한 경험: Django or React
• Python, JavaScript에 능숙한 개발자
• 기본적인 Database에 (MySQL) 개발 경험
• 유연한 사고를 바탕으로 원활한 커뮤니케이션이 가능한 분","• Kubernetes와 같은 컨테이너 기반 서비스와 서버 클러스터를 구축하고 운영한 경험
• Django/Python, React/JS 기반 웹 어플리케이션을 개발하고 운영한 경험이 있는 분도 좋습니다.
• MySQL(Maria DB) 등의 RDBMS 경험이 있는 분이 필요합니다.","경력
경력 3~20년","SW
Jenkins
Docker
Python
JSON
Linux
Git
GitHub",https://www.jumpit.co.kr/position/9003,"• 회사와 함께 성장을 위한 전 직원 스톡옵션 증여
• 일 3식(아침, 점심, 저녁) 식사 지원
• 명절 상여 금 등 별도 상여 총 100만원/년 지급 
• 스탠딩 데스크, 최신 사양의 노트북, 듀얼 모니터 등 업무 환경 지원
• 경조휴가 및 경조금 지원
• 구성원의 건강증진을 위한 종합 건강검진 지원(연1회)
• 커피, 티, 두유, 비타음료, 각종 스낵 등 다양한 음료와 간식 무한 지원 
• 국민연금, 건강보험, 산재보험, 고용보험 4대 보험 가입 
▶ 복지제도는 (주)딥엑스와 함께 성장해 나아갈 예정입니다."
이글루코퍼레이션,"마감일
2023-07-31",[연구개발본부] DevOps 엔지니어/ Solution 개발,devops/시스템 엔지니어,"• 학력 : 대졸 
• 경력 : 3년이상 
• Java, Spring boot 를 사용한 서버 개발 및 운영 경험자
• Javascript 및 HTML5, CSS3 에 대한 지식 및 경험자
• RESTful API 서버 개발 경험 및 운영 경험자
• AWS, Azure, GCP 등 클라우드 환경에서 서비스 개발 및 운영 경험자
• 원만한 커뮤니케이션 및 협업이 가능하신 분
• 해외여행에 결격사유가 없는 자","• Cloud Architect 설계 및 대규모 Traffic을 감당하는 서버 구축 경험자
• Jenkins, Kubernetes, Terraform 등 CI/CD 구축 및 운영 경험자
• 클라우드 서비스 보안 정책 모니터링 및 개선 조치 경험자","경력
경력 3~15년","Java
JavaScript
Spring Boot
REST API
HTML5
CSS 3
AWS
AZURE
GCP
Jenkins
Terraform",https://www.jumpit.co.kr/position/17245,"① 임직원 건강관리 지원제도 
• 임직원 단체보험 가입 (보장성, 일반형)
• 정기 건강검진 (연 1회)

② 학자금 지원제도 
• 학위 취득 장려금 제도 (석사/박사) 

③ 포상제도 
• 장기근속 포상제도, 우수사원 표창제도, 특허개발 포상제도, 인재추천 포상제도 

④ 회사 콘도 지원제도 
• 회사 명의의 콘도 이용

⑤ 동호회 지원제도 
• 건전한 취미활동 및 진목 도모를 위한 동호회 활동비 지원

⑥ 경조사 지원제도 
• 경조휴가, 경조금, 경조 화환 등
• 상조회 지원

⑦ 근무환경 지원
• 유연근무제 도입 (재량근무제, 탄력근무제, 선택근무제, 간주근무제 등)

⑧ 동호회 지원제도
• 동호회 활동비 지원

⑨ 기타 제도
• 가족수당 지급
• 통신비 일부 지원"
매니코어소프트,"마감일
상시",[신입] 시스템 관리 엔지니어,devops/시스템 엔지니어,"• 남자는 병역필 또는 면제인 분
• 해외 여행에 결격 사유가 없는 분
• Linux system 사용 경험이 있으신 분",• Linux system 사용이 능숙하신 분,"경력
신입~3년",Linux,https://www.jumpit.co.kr/position/14192,"• 급여 : 협의 (기존 연봉 + @)
• 근무 시간 : 주 40시간(주5일), 탄력적 근로시간제
• 4대 보험, 퇴직 연금, 중식 제공"
매니코어소프트,"마감일
상시",[경력] 시스템 관리 엔지니어,devops/시스템 엔지니어,"• 남자는 병역필 또는 면제인 분
• 해외 여행에 결격 사유가 없는 분
• 컴퓨터 공학 혹은 관련 전공 학부 졸업, 또는 이와 동등한 경력이 있으신 분
• 컴퓨터 시스템에 대한 이해가 있으신 분
• Linux system 사용 가능하신 분","• Linux system 사용에 능숙하신 분 (Ubuntu, CentOS 등)","경력
경력 3~10년","Linux
Ubuntu
CentOS",https://www.jumpit.co.kr/position/14191,"• 급여 : 협의 (기존 연봉 + @)
• 근무 시간 : 주 40시간(주5일), 탄력적 근로시간제
• 4대 보험, 퇴직 연금, 중식 제공"
플래티어,"마감일
상시",그루비사업부 클라우드 엔지니어,devops/시스템 엔지니어,"• 2년 이상의 Public Cloud(AWS, GCP, NCP 등) 기반 인프라 설계 및 운영 경험 
• 리눅스(CentOS, Ubuntu, RHEL 등) 다양한 OS 환경에서의 시스템 엔지니어로서 경험 
• 컨테이너 기반 기술(Docker, Kubernetes, Amazon ECS 등)을 이용하여 배포/운영 경험 
• Open Source(Prometheus, Grafana, Pinpoint, Sentry, ELK, Graylog 등) 구축 및 운영 경험 
• Jenkins, AWS Code Series 를 이용한 Pipeline 구성 및 운영 경험","• Nginx, Haproxy, Taefik 등의 Proxy 서비스 운영 경험이 있으신 분 
• Grafana, Prometheus 등을 활용한 모니터링 시스템에 대한 지식과 경험이 있으신 분 
• 대규모 사용자를 대상으로 한 Infra 구성 및 Service Architecture 설계 참여 경험이 있으신 분 
• 개발 인프라(Sonarqube, Jenkins, Git 등) 개선을 통한 개발 생산성 향상에 기여한 경험이 있는 분 
• 다양한 Public-Cloud(GCP, NCP) 환경에서의 초기 서비스 구성 및 고도화 참여 경험이 있으신 분 
• 데이터사이언스, 개발, 기획 등 Cross Functional 조직과의 협업을 이끌 수 있는 원활한 커뮤니케이션 능력을 보유하신 분","경력
경력 2~10년","AWS
GCP
CentOS
Ubuntu
Docker
Kubernetes
Jenkins
NGINX
HAProxy
Prometheus",https://www.jumpit.co.kr/position/16479,"[기본적인 것은 확실하게!]
• 4대 보험 가입
• 내일채움공제 지원
• 연 30만 복지 포인트 지급
• 단체 상해보험(실비보험) 가입

[동반성장을 지향합니다!]
• 자유로운 스터디 및 각종 컨퍼런스 참여 가능
• 장비 지원금(노트북/디지털 장비) 제공
• 업무관련 도서 지원

[활발한 교류를 통한 에너지 UP!]
• 각종 동호회 활동비 지원
• 팀별 회식비 지원

[소중한 워라벨!]
• 매월 셋째 주 수요일 빠른데이(5시 퇴근)
• 시차출퇴근데 시행(8시반 ~ 10시반 출근 자율 선택)
• 명절 및 창립기념일 상여&선물 지급
• 자유로운 연차사용 보장

[즐거운 일과 슬픈 일에도 함께해요!]
• 생일자 기프티콘 지급
• 각종 경조사비 경조휴가 지원

[쾌적하고 즐겁게 일할 수 있어요.]
• 안마의자, 음료수, 커피머신 구비
• 스트레스 해소를 위한 게임기 보유"
피어테크,"마감일
2023-07-31",AWS Lead Engineer(팀장),devops/시스템 엔지니어,"• Ansible 이용 인프라 관리 가능한 분
• IT 인프라 운영: 5년 이상(총 IT 경력 10년 이상)
• AWS 기반 IT 인프라 구축 및 운영을 Lead 할 수 있는 분
• 서비스 제공에 필요한 기술들을 검토하고 적정 기술을 선택해 적용할 수 있는 분","• 블록체인에 관심 있는 분
• AWS 인프라 운영 경력 있는 분
• AWS 관련 자격증 있는 분
• 정보보안 업무 경력 있는 분
• ISMS 인증받은 회사 근무 경력 있는 분","경력
경력 10~15년","Ansible
Chef
AWS CloudFormation
Kubernetes
Git
GitHub
ISMS
AWS",https://www.jumpit.co.kr/position/7985,"피어테크는 구성원들이 뛰어난 동료들과 함께 최고의 퍼포먼스를 낼 수 있도록 다양한 복리후생 프로그램을 제공하며, 더 좋은 근무환경을 만들기 위해 지속적으로 연구하고 있습니다.

[업계 최고 복지혜택]
• 든든하게 점심식대 지원
• 본인과 가족의 건강검진 지원
• 개인 법인카드로 편리하게, 석식 지원
• 외근, 야근 교통비 지원
• 듀얼 모니터, MAC 및 필요 최신장비 제공

[커리어 개발 지원]
• 최신식 금융 시스템 및 혁신 트렌드 선도
 (클라우드 기반 ISMS, 블록체인, 디지털 자산, CBDC, 결제, 금융상품 등)
• 꾸준한 지식습득 장려 도서비 지원
• 업무 역량강화 교육비 지원

[업무 효율 최우선]
• 최신식 클라우드 업무 환경 
 (AWS, G-suite, Slack, Atlassian, 1Password 등)
• 지하철 2호선, 9호선 근접한 편리한 교통

[추가 포상제도]
• 평가를 통한 인센티브 제공
• 기여도에 따른 스톡옵션 기회 부여
 
[휴게공간]
• 아침마다 채워지는 식사대용 간편식과 과일
• 내가 원하는 간식 언제든지 스낵바 이용

[경조사 지원]
• 본인과 가족의 출산과 육아지원 출산휴가/육아휴직
• 기쁨과 슬픔도 함께하며 경조사비 및 경조휴가
• 직원들의 생일도 함께 사내 생일파티"
에프앤에프,"마감일
상시",[F&F] MLB/디스커버리 의류 브랜드 본사 DevOps(Cloud) Engineer,devops/시스템 엔지니어,"• Node.js, Python, bash 등 하나 이상의 스크립트 언어에 능숙하신 분
• AWS 3년 이상 설계/구축/운영해보신 분 (IaC를 해보고 싶은 분)
• Jira, Jenkins를 배포 환경을 경험 해보신 분
• Docker Orchestration에 대해서 이해도가 있으신 분
• AWS 2021 re:Invent에서 나온 신규 서비스를 아시는 분","• AWS ECS,EKS 환경에 대해서 구성 및 운영 경험이 있으신 분
• Linux에 대한 OS 튜닝 경험이 있으신 분
• WEB/WAS에 대한 튜닝 경험이 있으신 분
• 새로운 기술에 대한 접근에 거부감이 없으신 분
• 불편한것을 개선하고자 하는 의지를 가지신 분","경력
경력 6~13년","AWS
Jenkins
Datadog
Node.js
Python
Jira
Docker
Linux",https://www.jumpit.co.kr/position/15778,"• 개발 환경 제공 사항 - 맥/윈도우 선택 가능, 인텔리J 등 유료 개발툴 지원, 허먼 밀러 의자 제공
• AWS, Oracle, MS 주관 교육 등 외부 교육 참석 기회
• 매월 최대 20만원 한도 (1회, 1강좌) 내 강의 교육 지원
• 업무 관련 도서 구입
• 시차 출퇴근제 (8-5, 9-6, 10-7 중 선택)
• 통신비 지원
• 사옥 1층 자르뎅페르뒤 레스토랑 메뉴 50% 임직원 할인
• MLB Korea 전 상품 50% 임직원 할인
• Discovery Expedition 전 상품 40% 임직원 할인
• 모닝 커피 및 조식 제공
• 사내 동호회 활동 지원
• 경조사 지원금
• 법인 리조트 제공(대명, 한화, 리솜 등)
• 생일 및 명절 선물
• 장기 근속 포상(1/3/5/7/15/20/25주년) 및 해외여행 지원
• 임신/출산 지원
• 자녀 입학선물 및 학자금 지원"
인포그랩,"마감일
상시",[인포그랩] DevOps 컨설턴트/코치 구인 (경력),devops/시스템 엔지니어,"✨ 이런 분과 함께 하고 싶습니다.
• DevOps로 협업 방식, 소프트웨어 개발 관행등을 바꿔 보고 싶으신 분
• DevOps 엔지니어링에 대한 기초 지식이나 관련 경험이 있으신 분
• 퍼블릭 스피치, 유투브 컨텐츠 제작의 경험이 있으신 분
• DevOps 컨설턴트/코치로 끝을 보고 싶으신 분","✨ 이런 분을 더 좋아합니다.
• 백엔드, 품질, 보안 관련 경력, 기술 리더로서의 경력 우대
• 아키텍처를 문서화 하고 필요에 따라서 프리젠테이션에 부담을 안가지시는 분 우대
• 쿠버네티스 인증 자격, 솔루션 인증 자격증 취득자 우대
• 기술 블로그 운영, 유투브 채널 운영 경험자 우대
• PoC를 즐기고, 난 정말 PoC 빨리해 하시는분 우대!","경력
경력 5~20년","GitLab
Kubernetes
Docker
Terraform
Prometheus
Grafana
Amazon EKS
Go
TypeScript
azure devops",https://www.jumpit.co.kr/position/15511,"엔지니어의 멋진 업무환경과 끊임없는 성장을 지원 합니다

💻  최근 맥북 과 32인치 혹은 27인치 모니터 2대까지 제공
🍄 학습과 실험, Dogfooding을 위한 인프라 및 클라우드 제공
📚 Udemy, O’Reilly Media, ACM Digital Library, Inflearn 등의 온라인 컨텐츠 사용
💊 비타민을 포함한 영양제, 간식, 음료, 주류 제공

[기본 복지]
• 연 2회 이내 인센티브
• 자율 출퇴근 (원격 근무 가능)
• 제한 없고, 승인 없는 휴가"
올거나이즈코리아,"마감일
상시",데브옵스 엔지니어,devops/시스템 엔지니어,"[OS]
• 최소 3년이상 Linux 환경에서 개발/운영 작업을 한 경험이 있어야 합니다.
• Linux OS에 대한 이해가 충분해야 합니다.
• Linux command / shell script 작성에 문제가 없어야 합니다.

[네트웍 / DB]
• TCP 상태에 대해 이해하고 있어야 하며 관련된 kernel option을 이해하고 있어야 합니다.
• 최소 1년 이상 웹서비스를 서빙하는 기술 stack에 대한 경험이 있어야 합니다.
• 최소 1년 이상 rdb / nosql 을 이용한 서비스의 개발/운영에 대한 경험이 있어야 합니다. 설계부터 참여해서 개발/운영한 경험이 있으신 분을 우대합니다.

[프로그래밍]
• 최소 3년 이상 개발 경험이 필요합니다.","• nginx, postgres, mongodb, elasticsearch, python, java, linux container기술에 대한 충분한 이해가 있으면 좋습니다.
• cloud service (aws, gcp, azure)에 대한 경험과 이해가 있으면 좋습니다.
• 대용량 서비스를 개발 혹은 운영해본 경험이 있으신 분을 우대합니다.
• deep learning을 이용한 서비스를 개발 혹은 운영해본 경험이 있으면 좋습니다.
• 자동화 테스트/배포 pipeline을 만들거나 운영해본 경험이 있으면 좋습니다.","경력
경력 3~10년","linux
Docker
Django
nginx
redis
GraphQL
aws
gcp
azure",https://www.jumpit.co.kr/position/15286,"[글로벌 인재로 성장할 수 있는 기회] 
• 미국 휴스턴 본사 및 실리콘 밸리, 일본 도쿄에 있는 팀과 일할 수 있는 글로벌한 업무 환경을 제공해드려요.
• 미국 본사로 Exchange Program(1-2개월)을 운영하며 희망할 경우 경비를 지원 해드려요.

[자율적이고 업무 몰입을 돕는 근무 환경]
• 근무시간은 9시 - 6시가 기본이지만 상황에 맞게 유연한 출/퇴근이 가능해요.
• 고사양의 노트북과 모니터를 지원해드려요. 그 외에도 필요한 장비를 적극 지원해드리고 있습니다.
• 주 2회 사무실 출근하는 Hybrid Work를 시행 중이에요.
• 사무실에 나오시는 날은 점심 걱정 하지 않도록, 점심 비용을 지원합니다.
• 당 떨어지는 일 없도록, 사무실에는 항시 간식을 구비하고 있어요.
• 재택 근무 하실 때 업무에 몰입할 수 있도록 재택 근무 환경 구축을 위한 비용을 지원해드려요.

[그 외에 제공 해드리는 것들]
• 자기계발비를 지원해드려요.
• 도서 구입비용을 지원해드려요.
• 설과 추석에는 명절 선물을 지급해드려요.
• 종합 건강 검진을 지원해드려요.
• 연차 외 유급 병가제도와 연말 약 1주 간의 전사 Off기간을 운영하고 있어요."
오픈소스컨설팅,"마감일
상시",아틀라시안 엔지니어,devops/시스템 엔지니어,"• 오픈소스 웹서버(Apache, Nginx, JBoss, Tomcat, WildFly) 유경험자
• WAS 서버 (Tomcat, Weblogic ) 유경험자
• Linux / Network 관련지식 및 클라우드 환경 이해
• 솔루션 엔지니어링 경험자","• Atlassian 제품 (Jira & Confluence & Bamboo 등)에 대한 구축 및 지원 경험
• Git, Jenkins등 (CI/CD) 사용 경험
• 아틀라시안 솔루션 연동 개발 경험","경력
신입~15년","Jira
Confluence
Bitbucket
Linux
Git
Apache Tomcat",https://www.jumpit.co.kr/position/3662,"오픈소스컨설팅은 구성원들의 건강하고 행복한 삶을 지향합니다.

• ""우리에게는 놀금이 있다"" : 격주 금요일 휴무
• ""월요병? 그게 뭐지?"" : 월요일 10시 출근
• ""풍요로운 워킹맘, 워킹파더"" : 육아포인트 월 20만원
• ""태어나줘서 고마워요."" : 생일 2시간 조기 퇴근제(본인/배우자)
• ""새로 합류한 당신을 진심으로 환영해요."" : 웰컴키트 제공
• ""열심히 일한 당신, 떠나라!"" : 야간/주말 근무 시 대체휴가
• ""먹방, 여행까지 내 맘대로"" : 연간 360만원 복지포인트
• ""통신비, 걱정말아요!"" : 전 직원 휴대폰 사용료 지원(월 7만원)
• ""맥북도 다 된다그램!"" : 350만원 한도 노트북 선택 구매(개발/엔지니어 경력직 기준)
• ""369안식휴가"" : 3년마다 휴가 및 포상금
• ""당신의 건강한 올해를 위해"" : 연 1회 전 직원 종합건강검진 지원
• ""직원은 회사가 지킨닷"" : 기업보험(상해/재해)가입
• ""건강은 소중하니까!"" : 매일 다른 메뉴로 아침식사 제공
• ""피곤한 '몸'에는 이'친구'가 제격"" : 안마의자
• ""읽고싶은 책은 마음껏 신청해봐"" : 도서비 지원(기술)
• ""당 떨어질 땐 주전부리"" : 커피, 견과류, 스낵 제공
• ""모두의 돌잔치"" : 입사 1주년 기념 휴가 및 상품권
• ""업무 스킬 레벨업"" : 직무 관련 교육비 지원
• ""출근 시간 내가 정해요"" : 시차 출퇴근제 운영(8~10시)
• ""시간이 소중한 당신을 위해"" : 2시간 단위 휴가 사용
• ""열심히 일한 당신 떠나라"" : 리조트 법인 회원가 이용"
에이스랩,"마감일
상시",[신입/경력] Linux 시스템 엔지니어,devops/시스템 엔지니어,"• 학사 이상 (컴퓨터 공학, 전자공학 등 이에 상응하는 전공)
• 프로그래밍 능력 (C/C++, Python)","• Linux system programming 경험
• Linux kernel driver 수정 및 빌드 경험
• 자율주행 센서 (카메라, 라이다, 등) 사용 경험
• Yocto 빌드 시스템 관련 프로젝트 진행 경험","경력
신입~5년","C
C++
GNU Bash
Rust
Shell
Yocto
Python
Linux",https://www.jumpit.co.kr/position/14241,"[개발에만 몰두하도록 돕는 업무 환경]
• 자율 복장
• 역삼-선릉 걸어서 10분 이내
• 주5일 유연근로제 
• 최고사양 장비 지원 

[일하는 것만큼 중요한 쉼]
• 라운지와 수면실 운영
• 스타벅스, 폴바셋 원두커피와 과자, 음료수 등 간식 무제한 제공
• 자유로운 연차 사용
• 회사 리조트 지원 (대명, 한화, 마리나베이) 
• 직원 휴가비 지원 (한국관광공사) 
• 5년 근속 시 3주의 refresh 휴가

[함께 자라는 회사와 팀원]
• 직무능력 성장을 위한 교육과 세미나, 도서 전액 지원
• 직원 특허 출원/등록 시 포상금 지급
• 신입사원 1:1 멘토링 제도 운영
• 성과에 따른 인센티브 지급

[회사 밖 삶을 지원하는 에이스랩]
• 명절과 생일 선물 지급
• 건강검진 지원
• 경조사 지원 (휴가, 화환, 경조금)
• 전직원 상해보험 가입

[그 밖에도 .. ]
• 내일채움공제 등 정부지원 적극 지원
• 급여일 점심시간 2시간
• 동료 추천 시 사내추천포상금 지급 
• 퇴직연금 운영
• 주차장 월 정기권 50% 지원
• 운전면허증 취득 시 학원비 50% 지원
• 전동퀵보드 월정기권 지원"
에이스랩,"마감일
상시",[신입/경력] 자율주행 플랫폼 엔지니어,devops/시스템 엔지니어,"• 학사 이상
- 기계공학, 자동차공학, 전자전기공학, 컴퓨터공학, 메카트로닉스 전공
• 자율주행 시스템 구성에 대한 관심
• Linux 상 프로그램 개발 능력","• 자율주행 시스템 구조에 대한 이해
• 차량용 통신(CAN 등)에 대한 이해
• 관련 프로젝트 경험
• 자율주행 센서 사용 경험","경력
신입~5년","Python
C
C++
Linux
Embedded
Git
MachineLearning
Network",https://www.jumpit.co.kr/position/8345,"[개발에만 몰두하도록 돕는 업무 환경]
• 자율 복장
• 역삼-선릉 걸어서 10분 이내
• 주5일 유연근로제 
• 최고사양 장비 지원 

[일하는 것만큼 중요한 쉼]
• 라운지와 수면실 운영
• 스타벅스, 폴바셋 원두커피와 과자, 음료수 등 간식 무제한 제공
• 자유로운 연차 사용
• 회사 리조트 지원 (대명, 한화, 마리나베이) 
• 직원 휴가비 지원 (한국관광공사) 
• 5년 근속 시 3주의 refresh 휴가

[함께 자라는 회사와 팀원]
• 직무능력 성장을 위한 교육과 세미나, 도서 전액 지원
• 직원 특허 출원/등록 시 포상금 지급
• 신입사원 1:1 멘토링 제도 운영
• 성과에 따른 인센티브 지급

[회사 밖 삶을 지원하는 에이스랩]
• 명절과 생일 선물 지급
• 건강검진 지원
• 경조사 지원 (휴가, 화환, 경조금)
• 전직원 상해보험 가입

[그 밖에도 .. ]
• 내일채움공제 등 정부지원 적극 지원
• 급여일 점심시간 2시간
• 동료 추천 시 사내추천포상금 지급 
• 퇴직연금 운영
• 주차장 월 정기권 50% 지원
• 운전면허증 취득 시 학원비 50% 지원
• 전동퀵보드 월정기권 지원"
크리에이츠,"마감일
상시",임베디드 리눅스 네트워크 플랫폼 개발,devops/시스템 엔지니어,"• 경력 7년 이상 
• 임베디드 네트워크 전문가
• 임베디드 리눅스 네트워크(TCP/IP, 소켓통신) 개발, 패킷분석 및 각종 네트워크 프로토콜 유경험자
• WiFi/BT 개발 경험자","• 카메라센서 개발 유경험자
• WiFi/BT 인증 경험자","경력
경력 7~15년","TCP/IP
Network
Linux
Embedded Linux",https://www.jumpit.co.kr/position/16786,"[시차 출퇴근제]
08 ~ 17시, 09 ~ 18시, 10 ~ 19시 본인의 Work Style에 맞는 출/퇴근제를 운영합니다.

[맞춤형PC]
개발자 업무환경에 적합한 최신형 노트북 및 주변기기를 맞춤으로 제공합니다.

[리조트 지원]
쉴 때도 누구보다 열심히 ! 안락하고 편안한 휴가를 위해 리조트를 지원합니다.

[종합건강검진 지원]
몸도, 마음도 건강한 크리에이츠.
연 1회 종합건강검진을 지원합니다.

[자기계발비 지원]
골프에 대해 잘 알고, 골프를 즐기며 근무할 수 있도록 골프 레슨비를 지원합니다.

[QED 골프 직영점 무료 이용]
언제 어디서나 골프와 가까이 ! 
자회사 QED골프 직영점을 무료로 이용합니다."
