,회사명,직무명,채용공고명,주요업무,자격요건,우대사항,기술스택
227,스카이랩스(SkyLabs),웹 개발자,"[Back-end, Front-end, 서버, 웹] 개발자 (전문연구요원 가능)","- 대용량 생체신호 수집/분석 시스템 백엔드/웹 개발 및 유지보수
- 모바일앱 연계 백엔드 API 개발 및 유지보수
- 사용자 및 관리자용 백엔드/웹 개발 및 유지보수","- JAVA, Springboot, JPA, Git 에 익숙하신 분
- RDBMS 및 NoSQL에 대한 이해도를 가지고 계시는 분
- 논리적이고 원활한 커뮤니케이션 능력을 보유하신 분
- 문제점 해결에 대한 유연한 사고를 갖추신 분
- 병역특례 전문연구요원 가능","- 5년 이상의 백엔드 개발 경험
- AWS 기반 Infra에 대한 이해와 운영 경험
- Kubernetes/Docker 등 컨테이너 기술을 이용한 클러스터 운영 경험
- DynamoDB, MongoDB 등의 NoSQL 서비스에 대한 경험이 있으신 분
- 알고리즘, 성능 최적화, 분산 처리 등에 관심이 많으신 분
- Front-end 개발 경험 (React, Vue, javascript, jquery, css 등)","Git
Android
iOS
MySQL
Pytorch
React
Tensorflow
Java
JavaScript
Kotlin
Python
Swift
딥 러닝
AWS
신호 처리
인공 지능
JPA
Spring Boot
ML"
286,쿼타랩(쿼타북),웹 개발자,[100억↑투자] Software Engineer (Full Stack),"[어떤 팀인가요?]
프로덕트 팀은 실질적인 문제 해결을 빠른 속도로 실행하는 팀입니다. 최소 단위로 해결책을 찾아내고, 그 해결책을 고객의 기대에 맞춰 끊임없이 배포를 합니다. 그리고 매번 회고를 통해, 팀을 계속 발전시킬 수 있는 방법이나 문화를 탐구해나갑니다.


[어떤 역할을 맡게 되나요?]
백엔드 챕터의 일원이 되어 쿼타북 및 쿼타스페이스 서비스의 근간을 함께 만들어 나가게 됩니다. 끊임없이 변하는 비상장 증권의 데이터에 맞춰, 장기적으로는 표준 시스템을 만드는 데에 일조합니다.


[합류하시면 함께 할 업무예요]
• 증권 관리, 계약, 주주 관리, 투자 등의 비상장 금융 맥락이 가지고 있는 모든 문제를 해결하는 금융 플랫폼을 개발하고 운영합니다.
• 스타트업과 투자사가 사용하는 증권 관리 플랫폼인 쿼타북을 개발합니다. 쿼타북은 증권 관리, 계약, 주주 관리, 투자 등의 비상장 금융 플랫폼입니다.
• 스타트업과 투자사/보육기관을 연결하는 커뮤니케이션 서비스인 쿼타스페이스를 개발합니다. 쿼타스페이스는 증권을 넘어 모든 데이터와 커뮤니케이션을 아우를 수 있는 플랫폼입니다.


[사용 중인 기술]
• 공통: AWS EKS Docker, ElastiCache(Redis), RDS(PostgreSQL), S3, CloudFront, ECR, Github Actions, ArgoCD
• Frontend: Yarn3, React, React-Query, Next.js, Emotion, CSS
• Backend: Spring, Java, Kotli","[이런 분을 찾습니다!]
• 동료들과 함께 건강한 자극을 주고 받으며 함께 성장할 수 있으신 분
• 단순히 주어진 문제를 해결하는 것이 아닌, 주도적으로 문제를 발견하고 분석해서 솔루션을 제안할 수 있으신 분
• 자신이 작성한 코드의 의도를 명확하게 전달할 수 있으신 분
• 새로운 기술을 빠르게 배울 수 있는 역량과 의지가 있으신 분
• 팀워크를 중요시하고 팀 단위로 일을 진행하고 결과를 만들어 내시는 분","[이런 분은 더욱 환영합니다!]
• 자신의 하드스킬, 소프트스킬을 팀에 공유하고 좋은 영향력을 만들어 동료와 팀을 성장시키고 싶으신 분
• 복잡한 도메인을 개선할 수 있는 UI / UX를 구현하는 것에 관심이 있으신 분
• Full-Stack 엔지니어로 프론트앤드와 백앤드 엔지니어링에 모두 관심이 있으신 분
• 개발자들의 생산성을 높일 수 있는 개발환경 개선 및 구축에 관심이 있으신 분
• React의 Suspense, Concurrent mode와 같은 최신 기술을 적극적으로 사용하여 제품의 성능과 설계 패턴을 개선하는 것에 관심이 있으신 분


[프로덕트 팀 조직문화]
• 1주일 단위로 스프린트를 진행합니다. 스프린트 시작을 위한 회의를 하고 스프린트가 끝날 때 회고를 통하여 발전하고 있습니다.
• 매일 스크럼 미팅을 합니다. 스프린트의 진행 상황과 이슈 등을 공유합니다.
• 효율적인 업무를 위해선 도구 가리지 않고 비용을 아끼지 않습니다. 이슈 관리는 리니어(Linear), 커뮤니케이션은 슬랙(Slack), 문서 관리는 노션을 사용하여 업무의 효율성을 향상시키고 있습니다.
• 좋은 코드를 유지하기 위하여 코드를 리뷰하고 CI/CD를 활용하여 테스트부터 배포까지 자동화 합니다.
• 자율과 책임이 강하게 자리해 있으며 모두 맡은 일을 책임감 있게 완료하고 좋은 성과를 냅니다.
• 주도적으로 투명하게 일하고 상대방을 존중합니다.

[채용 절차]
서류 접수 - 전화 인터뷰 - 직무 인터뷰 - 컬쳐핏 인터뷰","Github
GraphQL
React
Java
Kotlin
TypeScript
Next.js"
336,엔츠,웹 개발자,[전문연구요원 지원가능] B2B SaaS 웹 개발자,"기업을 위한 탄소중립 관리 플랫폼, 엔스코프를 함께 개발하고 서비스 하게 됩니다.

1) 탄소회계 엔진 개발

- 구매 기록, 에너지 사용, 물류 운송, 공정 배출, 재무적 투자 등 모든 기업활동을 국제적 표준에 의해 인정받을 수 있는 탄소 배출량으로 측정하고 관리하는 탄소회계 엔진
- 탄소회계 엔진 REST API 개발

2) 탄소중립 관리 플랫폼 엔스코프 B2B SaaS 웹 서비스 개발

- 기업의 탄소 배출 현황을 실시간으로 보여주는 대시보드 및 분석 서비스 개발
- 탄소중립을 위한 감축 로드맵 수립 및 관리 기능 개발
- 자발적 탄소 배출권 거래 기능 개발
- 그 외, B2B SaaS가 필요로 하는 모든 기능 개발

3) 데이터/인프라/API 관련

- 기업의 다양한 활동 데이터를 엔스코프와 연결하는 API를 개발
- 데이터의 보안, 검증, 오류 감지 등의 기능 개발
- AWS, Cloud, On-premise 등 다양한 환경에서의 데이터 수집 및 전송 시스템 개발
- 태양광 발전 시스템, 폐기물 처리 시스템 등 다양한 외부 시스템과의 연동 시스템 개발

[전형절차]

서류전형 - 1차 인터뷰(remote or offline) - 2차 인터뷰(on-site) - 처우 협의 - 입사

서류 합격 여부는 지원 후 1주 내에 회신 드립니다.","- ES6+ Javascript 및 React 개발 경험이 있는 분
- Linux, DB, HTTP, REST API 등에 대한 기본적인 이해가 있으신 분
- Git 등 분산 버전 관리(SCM) 시스템을 이용한 협업 경험이 있는 분
- 1개 종류 이상의 데이터베이스 사용 경험을 가지고 계신 분
- 웹 기술에 대한 이해가 있으신 분
- 스타트업에서만 할 수 있는 새로운 경험을 통해 함께 성장하고자 하는 분
- [!] 전문연구요원 지원 가능","- TypeScript를 능숙하게 다룰 수 있는 분
- FastAPI, Sanic 등 ASGI 프레임워크를 사용한 경험이 있는 분
- 코드리뷰와 테스트코드 작성 능력이 있으신 분
- 실제 제품 개발 경험이 있으신 분
- IT 기술을 이용해 탄소중립 문제를 해결하는 데에 기여하고 싶으신 분
- 무엇보다 성장하는 스타트업에서 함께 성장하며 탄소중립 문제를 푸는데에 기여하고 싶으신 개발자를 찾습니다!",
382,에이모(AIMMO),웹 개발자,백엔드개발자,"· 데이타 라벨링 코어 서비스 API 개발
· 데이타 라벨링 SaaS 서비스 API 개발
· 스마트 라벨링 백엔드 배치 프로그램 개발","· 최소 1개 이상의 사용 가능한 개발 언어 및 웹 프레임워크
· 스스로 좋은 개발자이자 좋은 동료라고 생각하시는 분
· 기본적인 컴퓨터 공학 지식 보유
· 반복 작업의 자동화 및 기술 부채 개선 의지 보유
· 문제 정의 역량 보유","· AWS, Azure, GCP, NCP 등 클라우드 사용 경험
· 객체지향 모델링/도메인 주도 설계
· 각종 장애 극복, 대용량 트래픽 처리 및 데이터베이스 운영 경험
· 파이썬을 통한 웹 어플리케이션 개발 및 운영
· 서비스에서 몽고디비 사용 경험
· 인공지능 기술에 대한 관심",
383,온엣,웹 개발자,웹 백엔드 개발자,"ㆍ서비스 방향에 맞는 웹개발
ㆍ유지보수","ㆍ학력 : 학력무관
ㆍ기존 코드를 보고 구조를 파악할 수 있습니다
ㆍ스스로 문제를 정의하고 해결하는 능동성 
ㆍ새로운 기술을 접하는 것에 거부감이 없고 배움과 도전을 즐기는 성향","ㆍ컴퓨터공학 지식
ㆍ팀 협업 경험","Linux
HTML
JavaScript
Python
SQL
AWS"
390,알티올,웹 개발자,Back-End 개발자 (3년 이상),"• 소트프웨어 아키텍트
• 소트프웨어 아키텍트
• 토탈 솔루션 구현
• 스마트 물류 구현","［필수스킬］
 • Java  기본기
 • Framework : Spring boot
 • Interface : Api / Socket / WebSocket / PUB,SUB 
 • Database : DDL, DML (Oracle, MySql, MariaDB, MSSql)
 • Data Modelling : Design to Schema (ERD)
 • Team Collaboration Tool (Jira, Git, Jenkins, Figma)","• IT 인프라 구축 경험.(Docker / WAS / Database / Network)
• 클라우드 플랫폼 (AWS, Azure) 활용 능력
• 스마트 물류 자동화 도메인 비즈니스 경험.
• OKR 성과 관리 활용 경험
• IT PM/PL 경험.
• 비즈니스 영어 의사 소통","Git
Github
Android
Azure
iOS
Linux
MySQL
React
C#
CSS
Java
Kotlin
PHP
Python
SQL
TypeScript
AWS
C++
HTTP
UX
NoSQL
Docker
RDBMS
CSS 자바 스크립트
JPA
GCP
UI 디자인
React.js
Spring Boot
Redux
Next.js"
403,아임웹,웹 개발자,Data Analyst,"• 다양한 사내의 데이터 수요에 대응하여, 목적에 맞는 적절한 측정 지표를 수립하고 데이터 제공
• SQL과 Python을 사용하여 데이터를 추출하고 전처리하여, 시각화와 분석을 통해 비즈니스와 고객에게 도움이 되는 인사이트 발굴
• 데이터를 통해 전달해야 하는 중요한 정보를 효율적으로 시각화하여, 대시보드를 구축하고 운영(Tableau, Redash)
• 데이터 엔지니어와 협업하여 Data Warehouse와 Data Mart에 적재할 데이터를 모델링하고, 처리하는 프로세스 구현
• 프로덕트의 비즈니스 로직에 대한 이해를 바탕으로 방대한 데이터를 탐색하고 데이터의 정합성과 정확도를 확보한, 신뢰할 수 있는 데이터 자산 구축에 기여
• 오너십을 가지고 데이터와 근거 기반으로 일하는 문화와 환경을 구축","• 기초통계학 지식 및 정량 데이터 분석 경험
• 분석과 데이터 전처리 과정에서 필요한 SQL, Python 사용에 능숙하신 분
• 이커머스와 SaaS의 주요 지표와 분석 방법론에 대한 높은 이해도 (GMV, MRR, LTV, Cohort, Retention 등)
• 비즈니스적인 관점에서 데이터를 이해하고, 크고 작은 의사결정과 action item 도출까지 논리적이고 분석적으로 사고하실 수 있는 분
• 데이터 비전문가에게도 필요한 내용을 쉽게 이해시키고 전달할 수 있는 커뮤니케이션 능력","• Product Analysis, Business Analysis를 통해 제품의 기능, 전략 등에서 임팩트를 만든 경험
• Mixpanel, Amplitude와 같은 PA툴 활용 경험
• 데이터 시각화에 대한 전문성과 높은 이해도 및 BI툴 활용 경험 (Tableau, Redash, Superset)
• 인과추론 및 준실험설계 방법론에 대한 이해 (A/B 테스트 설계, DID, RDD 등)
• AI/ML에 대한 대략적인 지식
• 데이터 엔지니어링에 대한 기초적인 지식 또는 Airflow DAG 작성 경험
• 병렬 및 분산처리 기반의 라이브러리를 사용한 빅데이터 분석 경험
• AWS 클라우드 환경에서의 업무 경험",
421,마음주의,웹 개발자,software engineer,"• 웹 프론트엔드 설계 및 개발
• 웹 백엔드 설계 및 개발
• 웹 기반의 실시간 화상 통화 구현
• 웹 기반의 실시간 상호작용 콘텐츠 구현
• 웹앱, 안드로이드, IOS 앱 개발","• 아래 조건들 중 입사 후 3 개월 이내에 2 가지 이상 충족 가능하신 분

1. Flutter 또는 React.js, Vue.js, Javascript, CSS, HTML5 중 일부
2. Kotlin 또는 Java 로 Spring Boot, MySQL
3. WebSocket, WebRTC, React Native, GIT, Linux 중 일부","1. 상용 서비스의 개발에서 론칭까지의 경험
2. WebRTC 를 이용한 화상 통화 구현 경험
3. TCP, UDP, WebSocket 등을 이용하여 실시간 통신 프로토콜 설계 및 구현 경험
4. Kotlin, Flutter, Spring Boot 경험
5. 온라인 게임 서버 또는 클라이언트 개발 경험","Git
Linux
MySQL
CSS
Java
JavaScript
Kotlin
HTML5
React.js
React Native
Spring Boot
Flutter
WebRTC
Vue.JS"
448,코멘토,웹 개발자,백엔드 개발자 (PHP),"1. 코멘토 서비스의 신규 기능을 개발합니다.
2. 코멘토 서비스의 기존 기능을 유지보수하고 성능을 개선합니다.
3. 서비스 운영에 필요한 내부 툴을 개발합니다.

[18개월 내 주요 업무]
1. MAU 100만을 위한 시스템 안정화 관련 문제를 해결합니다.
2. 코드와 기능의 안정화를 위해 테스트 코드를 작성합니다.
3. 벡엔드와 프론트의 프로젝트를 완전 분리 합니다
4. KISA 보안 점검 사항에 기준하여 시스템의 보안을 개선합니다.
5. MZ 세대를 위한 대규모 커뮤니티를 개발합니다.","코멘토 백엔드 개발업무를 담당하실 분이 갖추기를 기대하는 역량을 설명드립니다.
* 참고로 아래 나열한 모든 역량을 다 갖춘 인재를 선발하는 것이 아닙니다. 말씀 드린 역량 중에서 1 ~ 2가지 좋은 강점이 있으신 분이면 좋겠습니다.

1. Modern PHP에 대한 이해가 있으신 분
2. Framework 사용 경험이 있으신 분 (CI, Laravel, etc ...)
3. 개발에 대한 관심이 많으신 분
4. 문제 해결 능력 및 책임감이 있으신 분
5. 군필 또는 병역면제자
* 학력 무관","코멘토는 어떤 분들을 우대하는지 설명 드립니다.
* 아래 사항을 읽어보시고 해당 되는 내용이 있다면 그 내용이 잘 드러나도록 작성해주세요.

1. AWS 운영 경험이 있으신 분
2. 시스템 아키텍처에 대한 이해와 경험이 있으신 분
3. 높은 승부욕과 새로운 것을 빠르게 학습할 수 있는 능력이 있으신 분","Git
Github
VueJS
CSS
HTML
JavaScript
PHP
AWS
Docker
Laravel
React.js
Flutter
Next.js"
453,아비브,웹 개발자,웹 개발자,"• 웹사이트/웹서비스 클라이언트, CMS 개발 및 유지보수
• 애플리케이션 API 서버 구축 및 유지관리
• 외부 API, SDK 연동 서비스 개발
• HTML5 기반 미니 게임 개발","• php 또는 jsp 개발 가능자
• RDBMS 이해 및 활용 가능자
• RESTful API 설계 및 개발 가능자
• 외부 API 활용 가능자
• HTML / JS /CSS 기본 지식 보유하신 분","• CodeIgniter 또는 Laravel 경험자
• 대용량 트래픽 처리 경험자
• CI/CD 파이프라인 운용
• AWS 등 클라우드 사용 경험자
• 센스와 자신감 있으신 분","MySQL
CSS
HTML
JavaScript
PHP
AWS
Laravel
CodeIgniter"
459,트레져러,웹 개발자,Back-End Engineer,"• 서비스의 전체적인 소프트웨어 엔지니어링(Server & Mobile App) 담당
• 신규 서비스 및 기존 서비스에 대한 서버 아키텍쳐 설계 및 개발","• 컴퓨터 언어(Java, Javascript, Python, HTML, Swift, C 등)를 한가지 이상 사용가능하신 분
• 효율적으로 일하는 것을 선호하시 분","• NodeJS에 대한 경험
• AWS환경과 익숙하신 분
• Jira/Notion 등의 툴로 작업관리하는데 거부감 없는 분",
482,웰트(WELT),웹 개발자,Backend Developer (Messaging),"• 웰트 디지털 치료제 플랫폼에서 Messaging 기능을 설계하고 개발합니다.
  - Chatting Server
  - Chatbot Builder/Server
  - Push Server","• 백앤드 개발 언어(JS, Golang, Python) 중 하나 이상 능숙하게 구사할 수 있으신 분
• Mission critical한 시스템의 운영 경험
• 고성능 / 대용량 메시징 트래픽 처리 시스템 개발 및 운영 경험 있으신 분","• Golang을 사용한 개발 경험이 있으신 분
• AMQP, Redis, NoSQL, SQL등을 활용한 실시간 대용량 데이타 처리 설계 경험
• 다양한 외부시스템과 연계한 상용서비스 백엔드 개발 경험 있으신 분
• Kubernetes, Docker등 Container환경에서 서비스 개발 및 운영 경험
• Cloud Platform Service의 지식이 풍부하거나 활용 경험
• Linux 환경을 잘 이해하고 개발한 경험이나 서비스 운영 경험
• 코드품질을 위한 어플 구조설계, 코드리뷰, 코드테스트등 품질향상에 적극적이신 분","Hadoop
Scikit-Learn
Spark
Tensorflow
Python
SQL
Tableau
Go"
612,한국딥러닝,웹 개발자,백엔드 엔지니어(웹 플랫폼),"- 플랫폼 기능 개발(유저 관리, 펀딩, 커뮤니티 등)
- 플랫폼 DB 설계 및 구축, 관리
- 플랫폼 결제, 구독, 펀딩 시스템 개발
- 사이트 업데이트, 버그 수정, 문제 해결 및 성능 향상 유지","•  필수 기술 스택
•  백엔드 프레임워크 택 1
    - spring 혹은 spring boot
    - Apache spark
    - Node.js

•  NoSQL or SQL 기반 DBMS 택 1
    - MongoDB
    - Cassandra
    - MSSQL
    - MySQL
    - MariaDB 등","• 대규모 웹 트래픽 처리 및 시스템 설계 경험
• 플랫폼 결제, 구독, 펀딩 시스템 구축 경험
• AWS(EC2, S3), On-premise 및 Docker, Kubernetes 등의 서버 시스템 구축 경험
• 대용량 DB 설계, 구축 및 관리 경험 (SQL, MongoDB, Cassandra 등)
• 우대 기술 스택
    - Jenkins
    - Junit5
    - Spock
    - AWS S3, E2C, Aurora, Redis
    - Selenium
    - Postman-Newman
    - Docker, Kubernetes","Git
Github
MongoDB
MySQL
Pytorch
Scikit-Learn
JavaScript
Node.js
R
SQL
AWS
Jenkins
NoSQL
Apache
Docker
JUnit
MSSQL
Kubernetes"
619,코드잇(codeit),웹 개발자,[100억↑투자] 테크 콘텐츠 에디터,"현재 코드잇은 모든 콘텐츠를 자체 제작하고 있습니다. 하지만 때로는 분야가 빠르게 변해서, 전문 지식이 필요해서, 수요가 좁아서 등의 이유로 자체 제작이 어려운 주제가 있는데요. 이런 주제는 실무 역량과 콘텐츠 역량을 가진 콘텐츠 파트너를 찾고 협업하여 제작하려 합니다.

• 팀에서 선정한 주제의 코드잇 콘텐츠를 잘 만들 수 있는 콘텐츠 파트너를 발굴합니다.
• 콘텐츠 파트너와 협업하여 콘텐츠를 제작합니다.
• 만들어진 콘텐츠를 코드잇 스타일에 맞도록 한층 더 개선합니다.

【 이런 팀에서 일해요 】
콘텐츠 팀은 현 시대의 교육의 문제점을 직면하고, 이를 해결하기 위해 가장 앞단에 있는 팀입니다. 
실무 역량과 콘텐츠 역량을 모두 갖춘 훌륭한 팀원들이 모여 수강생 분들이 보다 쉽게 이해하고, 보다 재미있게 배울 수 있도록 항상 고민합니다. 그리고 깊은 고민 끝에 가장 필요한 주제를 선정하여 모든 레슨이 유기적으로 연결될 수 있도록 커리큘럼을 기획하고 콘텐츠를 제작합니다. 단순히 배우는 것에 그치는 것이 아닌, 사람들이 배움의 기쁨을 느끼고 배움에 빠지도록 합니다.","• 글을 잘 쓰시는 분
• 다양한 분과 원활하게 협업할 수 있는 분
• 가르치는 센스와 콘텐츠 감각이 있는 분","• 코드잇 콘텐츠 스타일을 잘 이해하시는 분
• 교육 분야에 관심이 많은 분
• 기술 주제를 잘 이해할 수 있으신 분


【 이렇게 합류하게 돼요 】
1. 서류 접수 → 2. 사전과제 → 3. 인터뷰 → 4. 합류 
• 서류 통과 시 콘텐츠 제작 역량을 검증하기 위한 과제를 드리고 있어요. (*사전과제비 제공)
• 직무와 컬쳐핏 관련 인터뷰가 진행되며, 모든 인터뷰를 하루 동안 진행해요.
• 인터뷰는 코드잇 사무실에서 진행돼요.

【 제출 서류 】
• (필수) 이력서
• (선택) 글쓰기 역량을 확인할 수 있는 포트폴리오

【 참고해 주세요 】
• 정규직 채용의 경우 3개월의 수습 기간이 있어요.
• 수습 기간 평가 결과에 따라 수습 기간이 연장되거나 채용이 취소될 수 있어요.",
